Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,,,DOTHAN,AL,36301.00,HOUSTON,3347938701.00,14.30,No Different than U.S. National Rate,12.10,17.00,666.00,,11.40,No Different than U.S. National Rate,9.50,13.70,741.00,,10.90,No Different than U.S. National Rate,8.60,13.70,371.00,,19.00,No Different than U.S. National Rate,16.60,21.70,728.00,,23.70,No Different than U.S. National Rate,21.30,26.50,891.00,,17.10,No Different than U.S. National Rate,14.40,20.40,400.00,
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,,,BOAZ,AL,35957.00,MARSHALL,2565938310.00,18.50,No Different than U.S. National Rate,14.70,23.00,44.00,,15.20,Worse than U.S. National Rate,12.20,18.80,234.00,,13.90,No Different than U.S. National Rate,11.30,17.00,372.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,21.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.50,No Different than U.S. National Rate,19.20,26.10,264.00,,17.60,No Different than U.S. National Rate,15.00,20.60,374.00,
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,,,FLORENCE,AL,35631.00,LAUDERDALE,2567688400.00,18.10,No Different than U.S. National Rate,14.80,21.80,329.00,,11.30,No Different than U.S. National Rate,9.10,13.90,523.00,,13.40,No Different than U.S. National Rate,11.20,15.80,836.00,,17.80,No Different than U.S. National Rate,14.90,21.50,342.00,,19.80,Better than U.S. National Rate,17.20,22.90,614.00,,16.90,No Different than U.S. National Rate,14.70,19.50,842.00,
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,,,OPP,AL,36467.00,COVINGTON,3344933541.00,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.60,No Different than U.S. National Rate,10.00,18.20,113.00,,14.90,No Different than U.S. National Rate,11.60,19.00,239.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.10,No Different than U.S. National Rate,22.40,31.90,135.00,,19.40,No Different than U.S. National Rate,15.90,23.20,254.00,
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,,LUVERNE,AL,36049.00,CRENSHAW,3343353374.00,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.80,No Different than U.S. National Rate,9.90,18.70,53.00,,15.80,No Different than U.S. National Rate,11.40,21.50,61.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,4.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.70,No Different than U.S. National Rate,19.90,30.20,59.00,,18.00,No Different than U.S. National Rate,14.00,22.80,56.00,
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,,,GUNTERSVILLE,AL,35976.00,MARSHALL,2565718000.00,Not Available,Number of Cases Too Small,Not Available,Not Available,22.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.50,No Different than U.S. National Rate,9.90,15.60,163.00,,8.70,Better than U.S. National Rate,6.80,11.00,315.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,13.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.90,No Different than U.S. National Rate,20.10,28.20,173.00,,18.70,No Different than U.S. National Rate,15.70,22.20,326.00,
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,,,BIRMINGHAM,AL,35235.00,JEFFERSON,2058383122.00,17.70,No Different than U.S. National Rate,14.20,22.10,220.00,,10.90,No Different than U.S. National Rate,8.50,13.80,348.00,,16.20,Worse than U.S. National Rate,13.40,19.60,441.00,,22.40,No Different than U.S. National Rate,18.50,26.80,213.00,,21.30,No Different than U.S. National Rate,18.20,24.70,417.00,,17.70,No Different than U.S. National Rate,15.30,20.70,452.00,
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,,,FORT PAYNE,AL,35968.00,DE KALB,2568453150.00,18.00,No Different than U.S. National Rate,14.10,22.80,99.00,,16.60,Worse than U.S. National Rate,12.40,22.00,137.00,,15.80,Worse than U.S. National Rate,12.10,20.20,215.00,,19.80,No Different than U.S. National Rate,15.80,24.60,79.00,,26.40,No Different than U.S. National Rate,22.10,31.30,160.00,,17.70,No Different than U.S. National Rate,14.40,21.80,210.00,
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,,,ALABASTER,AL,35007.00,SHELBY,2056208100.00,15.90,No Different than U.S. National Rate,12.60,20.00,192.00,,13.60,No Different than U.S. National Rate,10.60,17.10,262.00,,10.70,No Different than U.S. National Rate,8.20,13.60,318.00,,20.30,No Different than U.S. National Rate,16.80,24.40,199.00,,25.10,No Different than U.S. National Rate,21.60,28.70,323.00,,16.90,No Different than U.S. National Rate,14.20,20.30,332.00,
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,,,BIRMINGHAM,AL,35233.00,JEFFERSON,2053258100.00,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,AL,35660.00,COLBERT,2563864556.00,19.60,No Different than U.S. National Rate,15.20,25.10,85.00,,12.60,No Different than U.S. National Rate,9.90,16.00,257.00,,15.00,Worse than U.S. National Rate,12.10,18.50,324.00,,21.10,No Different than U.S. National Rate,16.70,26.20,43.00,,21.80,No Different than U.S. National Rate,18.50,25.70,289.00,,19.30,No Different than U.S. National Rate,16.20,22.80,336.00,
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,,OZARK,AL,36360.00,DALE,3347742601.00,17.30,No Different than U.S. National Rate,13.70,21.70,33.00,,11.80,No Different than U.S. National Rate,8.80,15.70,95.00,,9.90,No Different than U.S. National Rate,7.40,13.10,150.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,15.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.60,No Different than U.S. National Rate,18.70,27.00,128.00,,17.70,No Different than U.S. National Rate,14.50,21.40,183.00,
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,,CENTRE,AL,35960.00,CHEROKEE,2569275531.00,Not Available,Number of Cases Too Small,Not Available,Not Available,8.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.10,No Different than U.S. National Rate,8.80,16.60,70.00,,14.70,No Different than U.S. National Rate,10.80,20.10,116.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.10,No Different than U.S. National Rate,21.40,31.40,77.00,,17.10,No Different than U.S. National Rate,13.60,21.30,112.00,
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116.00,MONTGOMERY,3342882100.00,17.80,No Different than U.S. National Rate,14.70,21.50,312.00,,11.80,No Different than U.S. National Rate,9.30,14.70,387.00,,14.30,No Different than U.S. National Rate,10.90,18.10,203.00,,21.70,No Different than U.S. National Rate,18.40,25.20,379.00,,24.00,No Different than U.S. National Rate,21.00,27.10,531.00,,21.90,No Different than U.S. National Rate,18.10,25.90,214.00,
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,,,MONTGOMERY,AL,36106.00,MONTGOMERY,3342938000.00,17.50,No Different than U.S. National Rate,14.20,21.20,200.00,,10.20,No Different than U.S. National Rate,8.10,12.60,449.00,,14.70,Worse than U.S. National Rate,12.30,17.50,354.00,,19.00,No Different than U.S. National Rate,15.70,22.60,208.00,,23.80,No Different than U.S. National Rate,21.00,26.90,533.00,,20.20,No Different than U.S. National Rate,17.10,23.60,358.00,
